"iso_a2","pop_est","pop_year"
"FJ",920938,2017
"TZ",53950935,2017
"EH",603253,2017
"CA",35623680,2017
"US",326625791,2017
"KZ",18556698,2017
"UZ",29748859,2017
NA,6734541,2017
"ID",260580739,2017
"AR",44293293,2017
"CL",17789267,2017
"CD",83301151,2017
"SO",7531386,2017
"KE",47615739,2017
"SD",37345935,2017
"TD",12075985,2017
"HT",10646714,2017
"DO",10734247,2017
"RU",142257519,2017
"BS",329988,2017
"FK",2931,2014
"SJ",2667,2016
"GL",57713,2017
"TF",140,2017
"TL",1291358,2017
"ZA",54841552,2017
"LS",1958042,2017
"MX",124574795,2017
"UY",3360148,2017
"BR",207353391,2017
"BO",11138234,2017
"PE",31036656,2017
"CO",47698524,2017
"PA",3753142,2017
"CR",4930258,2017
"NI",6025951,2017
"HN",9038741,2017
"SV",6172011,2017
"GT",15460732,2017
"BZ",360346,2017
"VE",31304016,2017
"GY",737718,2017
"SR",591919,2017
"GF",212050.38,2017
"EC",16290913,2017
"PR",3351827,2017
"JM",2990561,2017
"CU",11147407,2017
"ZW",13805084,2017
"BW",2214858,2017
"NA",2484780,2017
"SN",14668522,2017
"ML",17885245,2017
"MR",3758571,2017
"BJ",11038805,2017
"NE",19245344,2017
"NG",190632261,2017
"CM",24994885,2017
"TG",7965055,2017
"GH",27499924,2017
"CI",24184810,2017
"GN",12413867,2017
"GW",1792338,2017
"LR",4689021,2017
"SL",6163195,2017
"BF",20107509,2017
"CF",5625118,2017
"CG",4954674,2017
"GA",1772255,2017
"GQ",778358,2017
"ZM",15972000,2017
"MW",19196246,2017
"MZ",26573706,2017
"SZ",1467152,2017
"AO",29310273,2017
"BI",11466756,2017
"IL",8299706,2017
"LB",6229794,2017
"MG",25054161,2017
NA,2747943,2017
"GM",2051363,2017
"TN",11403800,2017
"DZ",40969443,2017
"JO",10248069,2017
"AE",6072475,2017
"QA",2314307,2017
"KW",2875422,2017
"IQ",39192111,2017
"OM",3424386,2017
"VU",282814,2017
"KH",16204486,2017
"TH",68414135,2017
"LA",7126706,2017
"MM",55123814,2017
"VN",96160163,2017
"KP",25248140,2013
"KR",51181299,2017
"MN",3068243,2017
"IN",1281935911,2017
"BD",157826578,2017
"BT",758288,2017
"NP",29384297,2017
"PK",204924861,2017
"AF",34124811,2017
"TJ",8468555,2017
"KG",5789122,2017
"TM",5351277,2017
"IR",82021564,2017
"SY",18028549,2017
"AM",3045191,2017
NA,5320045,2017
"SE",9960487,2017
"BY",9549747,2017
"UA",44033874,2017
"PL",38476269,2017
"AT",8754413,2017
"HU",9850845,2017
"MD",3474121,2017
"RO",21529967,2017
"LT",2823859,2017
"LV",1944643,2017
"EE",1251581,2017
"DE",80594017,2017
"BG",7101510,2017
"GR",10768477,2017
"TR",80845215,2017
"AL",3047987,2017
"HR",4292095,2017
"CH",8236303,2017
"LU",594130,2017
"BE",11491346,2017
"NL",17084719,2017
"PT",10839514,2017
"ES",48958159,2017
"IE",5011102,2017
"NC",279070,2017
"SB",647581,2017
NA,175160,0
"NZ",4510327,2017
"AU",23232413,2017
"LK",22409381,2017
"CN",1379302771,2017
"TW",23508428,2017
"IT",62137802,2017
"FR",64874402.21,2017
"DK",5605948,2017
NA,1857554.41,2017
NA,54378779.48,2017
"IS",339747,2017
"AZ",9961396,2017
"GE",4926330,2017
"PH",104256076,2017
"MY",31381992,2017
"BN",443593,2017
"SI",1972126,2017
"FI",5491218,2017
"SK",5445829,2017
"CZ",10674723,2017
"ER",5918919,2017
"JP",126451398,2017
"PY",6943739,2017
"YE",28036829,2017
"SA",28571770,2017
"AQ",4050,2013
NA,265100,2013
"CY",1221549,2017
"MA",33986655,2017
"EG",97041072,2017
"LY",6653210,2017
"ET",105350020,2017
"DJ",865267,2017
NA,3500000,2013
"UG",39570125,2017
"RW",11901484,2017
"BA",3856181,2017
"MK",2103721,2017
NA,5162603.42,2017
"ME",642550,2017
"XK",1895250,2017
"TT",1218208,2017
NA,3142938.15,2017
NA,5390179.96,2017
"SS",13026129,2017
