city,country,iso2,lat,lng,query,place_id,name,addr,place_lat,place_lng,tz_id,tz_rawoffset,tz_dstoffset
Kabul,Afghanistan,AF,34.5167,69.1833,park,ChIJbWAhh7hu0TgRaDRVJl_nI_w,پارک شهر نو,"Shahre Now Park، Kabul, Afghanistan",34.5339042,69.1689984,Asia/Kabul,16200,0
Kabul,Afghanistan,AF,34.5167,69.1833,street market,ChIJO3c4mrRu0TgRmqWoQXCVIVk,Golbahar Center Bank e Millie Afghan,"Kabul, Afghanistan",34.5232712,69.17346859999999,Asia/Kabul,16200,0
Buenos Aires,Argentina,AR,-34.6025,-58.3975,bar,ChIJ2Uj7kcDKvJURzFx4ATwvHMw,Dellepiane Bar,"Luis Dellepiane 685, C1019 CABA, Argentina",-34.6009435,-58.3909198,America/Buenos_Aires,-10800,0
Buenos Aires,Argentina,AR,-34.6025,-58.3975,mall,ChIJP9FLhYzKvJURoUraVMD1DPw,Abasto de Buenos Aires,"Av. Corrientes 3247, C1193 CABA, Argentina",-34.6038897,-58.41099820000001,America/Buenos_Aires,-10800,0
Buenos Aires,Argentina,AR,-34.6025,-58.3975,mall,ChIJlXOtb2W1vJURpg0p1aOr42Q,Alcorta Mall,"Jerónimo Salguero 3172, C1425 CABA, Argentina",-34.5744668,-58.4038029,America/Buenos_Aires,-10800,0
Buenos Aires,Argentina,AR,-34.6025,-58.3975,mall,ChIJIRWq0oPKvJURoBsCDf5Bqcc,Alto Palermo,"Av. Santa Fe 3253, C1091 CABA, Argentina",-34.5878627,-58.41016060000001,America/Buenos_Aires,-10800,0
Buenos Aires,Argentina,AR,-34.6025,-58.3975,mall,ChIJr_waC8vKvJURnJ45T8-lU40,Galerías Pacífico,"Av. Córdoba 550, C1054 CABA, Argentina",-34.5992344,-58.3747818,America/Buenos_Aires,-10800,0
Buenos Aires,Argentina,AR,-34.6025,-58.3975,mall,ChIJ5SwBkKLKvJURKJZdVKCCu9U,Recoleta Mall,"Vicente López 2050, C1126 CABA, Argentina",-34.5891384,-58.3939348,America/Buenos_Aires,-10800,0
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJD6zmAT7LvJURz-tlIiO4E7E,Florentino Ameghino Park,"Sta Cruz, C1282 CABA",-34.6364552,-58.39410789999999,America/Buenos_Aires,-10800,0
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJewp303e1vJURrDtuJI_Wdq4,Mayor Seeber Square,"Av. Sarmiento, Buenos Aires, Argentina",-34.575394700000004,-58.4171004,America/Buenos_Aires,-10800,0
