city,country,iso2,lat,lng,query,place_id,name,addr,place_lat,place_lng
Kabul,Afghanistan,AF,34.5167,69.1833,street market,ChIJO3c4mrRu0TgRmqWoQXCVIVk,Golbahar Center Bank e Millie Afghan,"Kabul, Afghanistan",34.5232712,69.17346859999999
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJyfjP4dk0o5URsFLZkfOvwXI,Micaela Bastidas Park,Buenos Aires,-34.6153198,-58.3604492
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJBSwedjnLvJURXX34aCuJd6k,Parque España,C1282 Buenos Aires,-34.6344637,-58.385954
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJzUXgvH21vJURmgmG5hpUBCc,Parque Las Heras,"French, C1425 CABA",-34.5841026,-58.40801620000001
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJuWh329DKvJURXJUvD9wTdeE,Plaza La Pampa Province,C1072 Buenos Aires,-34.6114059,-58.3807659
Buenos Aires,Argentina,AR,-34.6025,-58.3975,park,ChIJTSsxGTM1o5UR4oT6JUqoa1g,Plaza Roma,"Av. Leandro N. Alem, C1048 CABA",-34.6012282,-58.369721
Buenos Aires,Argentina,AR,-34.6025,-58.3975,sights,ChIJp2ooqc21vJURg6AZ1de0qNg,Barrancas de Belgrano,"La Pampa 1781, C1428EAC CABA",-34.559804,-58.44917400000001
Buenos Aires,Argentina,AR,-34.6025,-58.3975,sights,ChIJP9VSss21vJURxihHiGGcGxM,Barrancas de Belgrano,"Mariscal Antonio José de Sucre 1683-1743, Buenos Aires",-34.5605292,-58.44836529999999
Buenos Aires,Argentina,AR,-34.6025,-58.3975,sights,ChIJTd6D_7O1vJURStSyaUwFbGs,Lagos De Regatas De Palermo,"Av. Ernesto Tornquist 80, Buenos Aires",-34.5573056,-58.4342772
Buenos Aires,Argentina,AR,-34.6025,-58.3975,sights,ChIJ3_VmO6TKvJUReBNAK9tnIfk,Parque Thays,"Barrio, Buenos Aires",-34.5847947,-58.38712219999999
Buenos Aires,Argentina,AR,-34.6025,-58.3975,street market,ChIJS4-Wh7zKvJURVAarHjmVg_s,Carrefour Market,"Vicente López 1676, C1018 ABB, Buenos Aires, Argentina",-34.5920594,-58.3898393
Buenos Aires,Argentina,AR,-34.6025,-58.3975,street market,ChIJf7oW4BrJvJURmHDyM0QfaoI,Liniers Market LLC,"Av. Lisandro de la Torre 2406, C1440 ECZ, Buenos Aires, Argentina",-34.66329959999999,-58.4985129
Canberra,Australia,AU,-35.283,149.129,sights,ChIJywhNwrqyF2sR0DNXi2_qAA8,Black Mountain Nature Reserve,Mitchell ACT 2911,-35.2662531,149.0955658
Canberra,Australia,AU,-35.283,149.129,sights,ChIJoTvEfyRNFmsRgCEEETuvBdE,Canberra Nara Peace Park,Yarralumla ACT 2600,-35.2984088,149.1212779
Canberra,Australia,AU,-35.283,149.129,sights,ChIJyVCSt3tSFmsRuisG4DhEWuo,Mount Ainslie Lookout,"20 Mount Ainslie Dr, Australian Capital Territory 2609",-35.2703529,149.1580644
Canberra,Australia,AU,-35.283,149.129,sights,ChIJEcVKpxdNFmsRdwaQCoeBlmk,National Library of Australia,"Parkes Pl W, Canberra ACT 2600",-35.2966239,149.1298218
Canberra,Australia,AU,-35.283,149.129,sights,ChIJDQgWf0lNFmsRrpHClzwPRXA,Telstra Tower,"100 Black Mountain Dr, Acton ACT 2601",-35.2755779,149.0978081
Canberra,Australia,AU,-35.283,149.129,street market,ChIJDb9QbFdMFmsRK_MX194_ApQ,Fyshwick Fresh Food Markets,"36 Mildura St, Fyshwick ACT 2609, Australia",-35.3241608,149.1547409
Sydney,Australia,AU,-33.865,151.209444,sights,ChIJeYQaVputEmsRGyql39kOMIA,Bondi to Bronte Coastal Walk,"1 Notts Ave, Bondi Beach NSW 2026",-33.8961042,151.2747022
Sydney,Australia,AU,-33.865,151.209444,sights,ChIJDflB7BWuEmsRYPbx-Wh9AQ8,Hyde Park,"Elizabeth St, Sydney NSW 2000",-33.8731383,151.2112757
Sydney,Australia,AU,-33.865,151.209444,sights,ChIJQ9b_zXquEmsRY6cF2rm2v0M,Mrs Macquarie's Chair,"1d Mrs Macquaries Rd, Sydney NSW 2000",-33.8596569,151.2225335
Sydney,Australia,AU,-33.865,151.209444,sights,ChIJx5lHT0WsEmsRGF8-5CrmeRc,Nielsen Park,"6 Steele Point Rd, Vaucluse NSW 2030",-33.8510739,151.2680222
Sydney,Australia,AU,-33.865,151.209444,sights,ChIJWaTdYGuuEmsRoOfx-Wh9AQ8,Royal Botanic Gardens,"Mrs Macquaries Rd, Sydney NSW 2000",-33.8641859,151.2165708
Sydney,Australia,AU,-33.865,151.209444,sights,ChIJqVVpmPSuEmsRd8WEFt6XOQc,Wendy Whiteley's Secret Garden,"Lavender St, Lavender Bay NSW 2060",-33.84385,151.2081472
Sydney,Australia,AU,-33.865,151.209444,street market,ChIJP-54FNSoEmsRE9-n09xuJUg,Chatswood Mall Market,"443 Victoria Ave, Chatswood NSW 2067, Australia",-33.7964036,151.1821163
Sydney,Australia,AU,-33.865,151.209444,street market,ChIJyzKFaDCpEmsRd1JtZuvX0UM,Harris Farm Markets,"201 High St, Willoughby NSW 2068, Australia",-33.7959564,151.2007647
Sydney,Australia,AU,-33.865,151.209444,street market,ChIJf0CnfZmtEmsRO_3CPNEpse0,Harris Farm Markets Bondi Beach,"61 Hall St, Bondi Beach NSW 2026, Australia",-33.8895177,151.2717992
Sydney,Australia,AU,-33.865,151.209444,street market,ChIJCVznMQ2uEmsRFjZyFUGQEIU,Harris Farm Markets Potts Point,"ERA & The Village Centre on Springfield, 30 Springfield Ave, Potts Point NSW 2011, Australia",-33.8729632,151.2240226
Sydney,Australia,AU,-33.865,151.209444,street market,ChIJtSxTkCSuEmsR-vGr9RrZSko,Paddy's Market Haymarket,"9-13 Hay St, Sydney NSW 2000, Australia",-33.8799586,151.2035992
Graz,Austria,AT,47.07103,15.43811,park,ChIJf2tweYE1bkcRIqUGeh31GN0,Graz Park,"Stadtpark 1, 8010 Graz",47.07461869999999,15.4443393
Graz,Austria,AT,47.07103,15.43811,park,ChIJdUUH-Z01bkcRjWK3oUNKQik,"Volksgarten, Graz","Mühlgasse 25, 8020 Graz",47.0734737,15.4272805
Graz,Austria,AT,47.07103,15.43811,street market,ChIJl1z8MYBKbkcRd_ggsdsX7ws,Bauernmarkt Kaiser-Josef-Platz,"Kaiser-Josef-Platz 8010, 8010 Graz, Austria",47.0685121,15.4467566
Graz,Austria,AT,47.07103,15.43811,street market,ChIJv2tFqp01bkcRRqxNTqH01nw,Bauernmarkt Lendplatz,"Lendpl., 8020 Graz, Austria",47.0749485,15.4309447
Graz,Austria,AT,47.07103,15.43811,tourist information,ChIJ0Ywoy3w1bkcR-6bqoxU0bGY,Augarten,"Wielandgasse 43, 8010 Graz, Austria",47.0613889,15.4358333
Graz,Austria,AT,47.07103,15.43811,tourist information,ChIJCaYTWoI1bkcRiRtBdigmrRI,Clock Tower,"Am Schlossberg, 8010 Graz, Austria",47.07363729999999,15.4377175
Graz,Austria,AT,47.07103,15.43811,tourist information,ChIJzZ4vsXg1bkcROp5F9dtMudk,Hauptplatz Graz,"Hauptpl. 1, 8010 Graz, Austria",47.070536,15.4385635
Vienna,Austria,AT,48.2,16.3666,park,ChIJBTqTk9SpbUcRZ0RoFzYpuQ4,Alois-Drasche-Park,1040 Vienna,48.1863317,16.3678882
Vienna,Austria,AT,48.2,16.3666,park,ChIJp6wBbW8HbUcRQlphsTs6Y8E,Arenbergpark,"Dannebergpl. 9, 1030 Wien",48.1983195,16.3917544
Vienna,Austria,AT,48.2,16.3666,park,ChIJNZQq7COobUcRGE3svmY7gTg,Bruno-Kreisky Park,"Sankt-Johann-Park, K, 1050 Wien",48.1880715,16.3438542
Vienna,Austria,AT,48.2,16.3666,park,ChIJ1-Z8mtypbUcRdZ2T_nZYHKE,Helmut-Zilk-Park,"Hlawkagasse 2, 1100 Wien",48.1797646,16.3829883
Vienna,Austria,AT,48.2,16.3666,park,ChIJQ86JVSqqbUcR7sRyFluHzVM,Kurpark Oberlaa,"Laaer-Berg-Straße, 1100 Wien",48.14862249999999,16.3997458
Vienna,Austria,AT,48.2,16.3666,park,ChIJnSpsGgIHbUcREc4DCsnIHmw,Rudolf-Bednar-Park,"Krakauer Str. 17, 1020 Wien",48.2261456,16.3967555
Vienna,Austria,AT,48.2,16.3666,park,ChIJvUOTsNIHbUcRl8GgXeyE0U0,Währinger Park,1180 Vienna,48.2322916,16.3487077
Vienna,Austria,AT,48.2,16.3666,sights,ChIJUwmrHKIHbUcRJXhRuEHANRI,Anker Clock,"Hoher Markt 10-11, 1010 Wien",48.2107348,16.3736217
Vienna,Austria,AT,48.2,16.3666,sights,ChIJdWDYUZoHbUcRTq4MHzRMp2s,Burggarten,"Josefsplatz 1, 1010 Wien",48.2043382,16.3658336
Vienna,Austria,AT,48.2,16.3666,sights,ChIJaYkCNXgHbUcR-A7ekakdyVQ,Hochstrahlbrunnen,"Schwarzenbergpl., 1030 Wien",48.1983963,16.3761296
Vienna,Austria,AT,48.2,16.3666,sights,ChIJLxUQCIYHbUcRFXbDgqpKW24,Naschmarkt,1060 Vienna,48.1984054,16.3631165
Vienna,Austria,AT,48.2,16.3666,street market,ChIJnZPDF9oHbUcRmhJAnCJyqhM,Brunnenmarkt,"Brunnengasse, 1160 Wien, Austria",48.2114853,16.3360826
Vienna,Austria,AT,48.2,16.3666,street market,ChIJq-7FEv8HbUcRj-2bMlE55mk,Meiselmarkt Marktbereich,"Meiselmarkt, 1150 Wien, Austria",48.1987731,16.3199512
Vienna,Austria,AT,48.2,16.3666,street market,ChIJ_WDSuJUHbUcR2QUpvg7vqR4,Rathaus,"Friedrich-Schmidt-Platz 1, 1010 Wien, Austria",48.2108685,16.3572486
Dhaka,Bangladesh,BD,23.7231,90.4086,mall,ChIJKzeB1ry4VTcRBHAy5FWHK1w,Bashundhara City Shopping Complex,"3 No Tejturi Bazar, West, Panthapath, Dhaka 1215",23.7509058,90.3904726
Dhaka,Bangladesh,BD,23.7231,90.4086,mall,ChIJr-4-l8G5VTcRDhhpJiE1wDQ,Bikrampur Plaza,"211/D, Jurain Railgate, Kodomtoli, Dhaka, 1204",23.6933251,90.4351301
Dhaka,Bangladesh,BD,23.7231,90.4086,mall,ChIJR7FffrzHVTcR5dWeKv9OxOk,Confidence Shopping Mall,"Bayzid Road, Dhaka 1212",23.7922936,90.4242144
Dhaka,Bangladesh,BD,23.7231,90.4086,mall,ChIJef75Yb64VTcR2l_FOMKIIp8,Eastern Plaza Shopping Complex,"Eastern plaza, Hatirpoo1, Dhaka-1205, Dhaka 1205",23.743626,90.391576
Dhaka,Bangladesh,BD,23.7231,90.4086,mall,ChIJBd7X5Vu5VTcRlC576cLx3Bk,Fortune Shopping Mall,"71 Outer Circular Rd, Dhaka 1219",23.7461107,90.41208549999999
Dhaka,Bangladesh,BD,23.7231,90.4086,mall,ChIJsReln624VTcRoCZtNXIoQzU,Metro Shopping Mall,"Mirpur Rd, Dhaka 1209",23.7523796,90.3772652
Dhaka,Bangladesh,BD,23.7231,90.4086,mall,ChIJ7UR1-E64VTcRbRRn6PdDdaI,Mouchak Market,"W Malibagh, Dhaka 1217",23.745608,90.411977
Dhaka,Bangladesh,BD,23.7231,90.4086,mall,ChIJ19Z5Ysq4VTcRO-WqPpCFMBI,Shimanto Square,"2 Rd No. 2, Dhaka 1205",23.7381082,90.3769396
Dhaka,Bangladesh,BD,23.7231,90.4086,mall,ChIJf-HR96DAVTcR5Vxe0aIXXG0,Tokyo Square,"9 Ring Rd, Dhaka 1207",23.765004,90.3583864
Dhaka,Bangladesh,BD,23.7231,90.4086,park,ChIJlxhU9a_AVTcRmyCHyqohaAE,Shyamoli Children Park,"Khilji Rd, Dhaka 1207",23.7730815,90.3655782
Dhaka,Bangladesh,BD,23.7231,90.4086,sights,ChIJGYvdV064VTcR6CHngkEpb9Y,Dhaka New Market,"Mirpur Rd, Dhaka 1205",23.7331937,90.3837664
Dhaka,Bangladesh,BD,23.7231,90.4086,sights,ChIJR1H_VQbHVTcRAsnI-owguJQ,Gulshan Lake Park,"Rd No 63, Dhaka 1212",23.800439,90.4085024
Dhaka,Bangladesh,BD,23.7231,90.4086,sights,ChIJzWO0ykK_VTcRjavH3bad2yQ,Rayer Bazar Bodhyo Bhumi,"Sadarghat - Gabtoli Rd, Dhaka",23.7508462,90.3571717
Dhaka,Bangladesh,BD,23.7231,90.4086,street market,ChIJi8aHYt7IVTcRwlSNox8rbkU,300 Feet Nila Market,Bangladesh,23.8368547,90.4840016
Dhaka,Bangladesh,BD,23.7231,90.4086,street market,ChIJfxJmPca4VTcREij8IhRNbVI,Gausia Market DHAKA,"3, 1 Mirpur Rd, Dhaka 1205, Bangladesh",23.7342727,90.3848403
Dhaka,Bangladesh,BD,23.7231,90.4086,street market,ChIJRzRQ9by4VTcRq6WCruZGPbI,Kathalbagan Bazar,"211 Free School St, Dhaka 1205, Bangladesh",23.7481006,90.3881998
Dhaka,Bangladesh,BD,23.7231,90.4086,street market,ChIJ9_qGhyfBVTcRen7FZ0Y-CZY,Mirpur-6 Kacha Bazar,"15, mirpur2288 Avenue 5, Dhaka 1216, Bangladesh",23.8107492,90.3631738
Dhaka,Bangladesh,BD,23.7231,90.4086,street market,ChIJW6ANGaHAVTcRTOqhM9zJNd8,Mohammadpur Krishi Market,"8, 6 Salimullah Rd, Dhaka, Bangladesh",23.7658767,90.3593041
Dhaka,Bangladesh,BD,23.7231,90.4086,street market,ChIJHWe7kA7HVTcRwFJiidB3q34,বনানী সুপার মার্কেট,"Kemal Ataturk Ave, Dhaka 1213, Bangladesh",23.7932097,90.406185
Dhaka,Bangladesh,BD,23.7231,90.4086,tourist information,ChIJOcC-nOi4VTcRFtAHmzv5A-Q,Central Shaheed Minar,"Near Dhaka Medical College Gate, Secretariat Road, Secretariate Road, Dhaka 1000, Bangladesh",23.7271353,90.3969188
